taxon	min_age	max_age
Fuxianhuia protensa'	513	516
Leanchoilia illecebrosa'	497	521
Alalcomenaeus cambricus'	506.5	511.2
Yohoia tenuis'	506.5	511.2
Emeraldella brocki'	506.5	511.2
Sydneyia inexpectans'	509.1	521
Olenoides serratus'	497	511.2
Haliestes dasos'	427.4	433.4
Palaeoisopus problematicus'	402.5	409.1
Offacolus kingi'	427.4	433.4
Dibasterium durgae'	427.4	433.4
Anderella parva'	319	331
Weinbergina opitzi'	402.5	409.1
Camanchia grovensis'	427.4	433.4
Venustulus waukeshaensis'	433	439
Willwerathia laticeps'	402.5	409.1
Legrandella lombardi'	393.3	419.2
Bembicosoma pomphicus'	433.4	438.5
Bunodes lunula'	422.9	426.2
Pasternakevia podolica'	423	427.4
Cyamocephalus loganensis'	426.7	432.9
Pseudoniscus roosevelti'	419.2	423
Winneshiek'	458.4	467.3
Euproops anthrax'	307.5	309.8
Euproops mariae'	300.4	301
Euproops danae'	303.7	323.2
Euproops rotundatus'	316.9	318.7
Bellinurus lunatus'	316.9	318.7
Bellinurus arcuatus'	314.6	318.7
Bellinurus reginae'	314.6	323.2
Bellinurus truemanii'	314.6	316.9
Bellinurus bellulus'	314.6	318.7
Bellinurus trilobitoides'	314.6	318.7
Anacontium brevis'	279.3	290.1
Anacontium carpenteri'	279.3	290.1
Liomesaspis leonardensis'	279.3	290.1
Liomesaspis laevis'	307.5	318.7
Alanops magnifica'	301	301.5
Pringlia birtwelli'	316.9	318.7
Kasibelinurus amoricum'	364.7	376.1
Houia yueya'	410.8	419.2
Kasibelinurus randalli'	364.7	370.6
Lunataspis aurora'	445.2	453
Limulus darwini'	145	150.8
Limulus decheni'	33.9	38
Limulus coffini'	70.6	83.5
Casterolimulus kletti'	66	70.6
Crenatolimulus paluxyensis'	109	112.03
Tachypleus gadeai'	235	242
Mesolimulus syriacus'	93.9	100.5
Yunnanolimulus luopingensis'	242	247.2
Xaniopyramis linseyi'	327	330.9
Bellinuroopsis rossicus'	364.7	370.6
Rolfeia fouldenensis'	346.7	353.8
Tarracolimulus rieki'	235	242
Victalimulus mcqueeni'	113	122.46
Mesolimulus crespelli'	235	242
Mesolimulus walchi'	145	150.8
Panduralimulus babcocki'	272.3	279.3
Austrolimulus fletcheri'	242	247.2
Psammolimulus gottingensis'	247.2	251.3
Limulitella bronni'	242	247.2
Limulitella vicensis'	208.5	228
Limulitella henkeli'	242	247.2
Paleolimulus fuchsbergensis'	205.6	212
Paleolimulus peetae'	242	247
Paleolimulus longispinus'	323.7	327
Valloisella lievinensis'	309.8	318.7
Paleolimulus signatus'	279.3	303.7
Stoermeropterus conicus'	433.4	443.8
Moselopterus ancylotelson'	402.5	409.1
Onychopterella kokomoensis'	419.2	423
Eurypterus tetragonophthalmus'	419.2	433.4
Dolichopterus macrocheirus'	419.2	423
Carcinosoma newlini'	419.2	423
Megalograptus ohioensis'	445.2	453
Mixopterus kiaeri'	422.9	426.9
Orcanopterus manitoulinensis'	445.6	449
Adelophthalmus sievertsi'	402.5	409.1
Hughmilleria socialis'	423	427.4
Slimonia acuminata'	419.2	443.4
Erettopterus bilobus'	427.4	443.4
Pterygotus anglicus'	407.6	419.2
Brachyopterus stubblefieldi'	453	458.4
Parastylonurus ornatus'	423	438.5
Laurieipterus elegans'	433.4	438.5
Kokomopterus longicaudatus'	419.2	423
Hardieopterus macrophthalmus'	433.4	438.5
Drepanopterus pentlandicus'	433.4	438.5
Hibbertopterus scouleri'	330.9	346.7
Megarachne servinei'	298.9	307
Chasmataspis laurencii'	458.4	468
Loganamaraspis dunlopi'	430.5	438.5
Achanarraspis reedi'	387.7	393.3
Heteroaspis stoermeri'	410.8	419.2
Diploaspis casteri'	402.5	409.1
Diploaspis muelleri'	407.6	410.8
Dvulikiaspis menneri'	410.8	419.2
Octoberaspis ushakovi'	410.8	419.2
Proscorpius osborni'	419.2	423
Palaeophonus nuncius'	430.5	433.4
Poliochera punctulata'	307.5	309.8
Anthracomartus hindi'	314.6	318.7
Eophrynus prestvicii'	309.8	316.9
Gilboarachne griersoni'	383.7	387.7
Palaeocharinus sp.'	407.6	410.8
Mesotarbus peteri'	316.9	318.7
Plesiosiro madeleyi'	314.6	316.9
Permarachne novokshonovi'	272.3	279.3
Attercopus filmbriunguis'	383.7	387.7
