taxon	min_age	max_age
Fuxianhuia_protensa	513	516
Leanchoilia_illecebrosa	497	521
Alalcomenaeus_cambricus	506.5	511.2
Yohoia_tenuis	506.5	511.2
Emeraldella_brocki	506.5	511.2
Sydneyia_inexpectans	509.1	521
Olenoides_serratus	497	511.2
Haliestes_dasos	427.4	433.4
Palaeoisopus_problematicus	402.5	409.1
Offacolus_kingi	427.4	433.4
Dibasterium_durgae	427.4	433.4
Anderella_parva	319	331
Weinbergina_opitzi	402.5	409.1
Camanchia_grovensis	427.4	433.4
Venustulus_waukeshaensis	433	439
Willwerathia_laticeps	402.5	409.1
Legrandella_lombardi	393.3	419.2
Bembicosoma_pomphicus	433.4	438.5
Bunodes_lunula	422.9	426.2
Pasternakevia_podolica	423	427.4
Cyamocephalus_loganensis	426.7	432.9
Pseudoniscus_roosevelti	419.2	423
Winneshiek	458.4	467.3
Euproops_anthrax	307.5	309.8
Euproops_mariae	300.4	301
Euproops_danae	303.7	323.2
Euproops_rotundatus	316.9	318.7
Bellinurus_lunatus	316.9	318.7
Bellinurus_arcuatus	314.6	318.7
Bellinurus_reginae	314.6	323.2
Bellinurus_truemanii	314.6	316.9
Bellinurus_bellulus	314.6	318.7
Bellinurus_trilobitoides	314.6	318.7
Anacontium_brevis	279.3	290.1
Anacontium_carpenteri	279.3	290.1
Liomesaspis_leonardensis	279.3	290.1
Liomesaspis_laevis	307.5	318.7
Alanops_magnifica	301	301.5
Pringlia_birtwelli	316.9	318.7
Kasibelinurus_amoricum	364.7	376.1
Houia_yueya	410.8	419.2
Kasibelinurus_randalli	364.7	370.6
Lunataspis_aurora	445.2	453
Limulus_darwini	145	150.8
Limulus_decheni	33.9	38
Limulus_coffini	70.6	83.5
Casterolimulus_kletti	66	70.6
Crenatolimulus_paluxyensis	109	112.03
Tachypleus_gadeai	235	242
Mesolimulus_syriacus	93.9	100.5
Yunnanolimulus_luopingensis	242	247.2
Xaniopyramis_linseyi	327	330.9
Bellinuroopsis_rossicus	364.7	370.6
Rolfeia_fouldenensis	346.7	353.8
Tarracolimulus_rieki	235	242
Victalimulus_mcqueeni	113	122.46
Mesolimulus_crespelli	235	242
Mesolimulus_walchi	145	150.8
Panduralimulus_babcocki	272.3	279.3
Austrolimulus_fletcheri	242	247.2
Psammolimulus_gottingensis	247.2	251.3
Limulitella_bronni	242	247.2
Limulitella_vicensis	208.5	228
Limulitella_henkeli	242	247.2
Paleolimulus_fuchsbergensis	205.6	212
Paleolimulus_peetae	242	247
Paleolimulus_longispinus	323.7	327
Valloisella_lievinensis	309.8	318.7
Paleolimulus_signatus	279.3	303.7
Stoermeropterus_conicus	433.4	443.8
Moselopterus_ancylotelson	402.5	409.1
Onychopterella_kokomoensis	419.2	423
Eurypterus_tetragonophthalmus	419.2	433.4
Dolichopterus_macrocheirus	419.2	423
Carcinosoma_newlini	419.2	423
Megalograptus_ohioensis	445.2	453
Mixopterus_kiaeri	422.9	426.9
Orcanopterus_manitoulinensis	445.6	449
Adelophthalmus_sievertsi	402.5	409.1
Hughmilleria_socialis	423	427.4
Slimonia_acuminata	419.2	443.4
Erettopterus_bilobus	427.4	443.4
Pterygotus_anglicus	407.6	419.2
Brachyopterus_stubblefieldi	453	458.4
Parastylonurus_ornatus	423	438.5
Laurieipterus_elegans	433.4	438.5
Kokomopterus_longicaudatus	419.2	423
Hardieopterus_macrophthalmus	433.4	438.5
Drepanopterus_pentlandicus	433.4	438.5
Hibbertopterus_scouleri	330.9	346.7
Megarachne_servinei	298.9	307
Chasmataspis_laurencii	458.4	468
Loganamaraspis_dunlopi	430.5	438.5
Achanarraspis_reedi	387.7	393.3
Heteroaspis_stoermeri	410.8	419.2
Diploaspis_casteri	402.5	409.1
Diploaspis_muelleri	407.6	410.8
Dvulikiaspis_menneri	410.8	419.2
Octoberaspis_ushakovi	410.8	419.2
Proscorpius_osborni	419.2	423
Palaeophonus_nuncius	430.5	433.4
Poliochera_punctulata	307.5	309.8
Anthracomartus_hindi	314.6	318.7
Eophrynus_prestvicii	309.8	316.9
Gilboarachne_griersoni	383.7	387.7
Palaeocharinus_sp.	407.6	410.8
Mesotarbus_peteri	316.9	318.7
Plesiosiro_madeleyi	314.6	316.9
Permarachne_novokshonovi	272.3	279.3
Attercopus_filmbriunguis	383.7	387.7
