taxon min_age max_age
Fuxianhuia_protensa 479.1 482.1
Leanchoilia_illecebrosa 463.1 487.1
Alalcomenaeus_cambricus 472.6 477.3
Yohoia_tenuis 472.6 477.3
Emeraldella_brocki 472.6 477.3
Sydneyia_inexpectans 475.2 487.1
Olenoides_serratus 463.1 477.3
Haliestes_dasos 393.5 399.5
Palaeoisopus_problematicus 368.6 375.2
Offacolus_kingi 393.5 399.5
Dibasterium_durgae 393.5 399.5
Anderella_parva 285.1 297.1
Weinbergina_opitzi 368.6 375.2
Camanchia_grovensis 393.5 399.5
Venustulus_waukeshaensis 399.1 405.1
Willwerathia_laticeps 368.6 375.2
Legrandella_lombardi 359.4 385.3
Bembicosoma_pomphicus 399.5 404.6
Bunodes_lunula 389 392.3
Pasternakevia_podolica 389.1 393.5
Cyamocephalus_loganensis 392.8 399
Pseudoniscus_roosevelti 385.3 389.1
Winneshiek 424.5 433.4
Euproops_anthrax 273.6 275.9
Euproops_mariae 266.5 267.1
Euproops_danae 269.8 289.3
Euproops_rotundatus 283 284.8
Bellinurus_lunatus 283 284.8
Bellinurus_arcuatus 280.7 284.8
Bellinurus_reginae 280.7 289.3
Bellinurus_truemanii 280.7 283
Bellinurus_bellulus 280.7 284.8
Bellinurus_trilobitoides 280.7 284.8
Anacontium_brevis 245.4 256.2
Anacontium_carpenteri 245.4 256.2
Liomesaspis_leonardensis 245.4 256.2
Liomesaspis_laevis 273.6 284.8
Alanops_magnifica 267.1 267.6
Pringlia_birtwelli 283 284.8
Kasibelinurus_amoricum 330.8 342.2
Houia_yueya 376.9 385.3
Kasibelinurus_randalli 330.8 336.7
Lunataspis_aurora 411.3 419.1
Limulus_darwini 111.1 116.9
Limulus_decheni 0 4.1
Limulus_coffini 36.7 49.6
Casterolimulus_kletti 32.1 36.7
Crenatolimulus_paluxyensis 75.1 78.13
Tachypleus_gadeai 201.1 208.1
Mesolimulus_syriacus 60 66.6
Yunnanolimulus_luopingensis 208.1 213.3
Xaniopyramis_linseyi 293.1 297
Bellinuroopsis_rossicus 330.8 336.7
Rolfeia_fouldenensis 312.8 319.9
Tarracolimulus_rieki 201.1 208.1
Victalimulus_mcqueeni 79.1 88.56
Mesolimulus_crespelli 201.1 208.1
Mesolimulus_walchi 111.1 116.9
Panduralimulus_babcocki 238.4 245.4
Austrolimulus_fletcheri 208.1 213.3
Psammolimulus_gottingensis 213.3 217.4
Limulitella_bronni 208.1 213.3
Limulitella_vicensis 174.6 194.1
Limulitella_henkeli 208.1 213.3
Paleolimulus_fuchsbergensis 171.7 178.1
Paleolimulus_peetae 208.1 213.1
Paleolimulus_longispinus 289.8 293.1
Valloisella_lievinensis 275.9 284.8
Paleolimulus_signatus 245.4 269.8
Stoermeropterus_conicus 399.5 409.9
Moselopterus_ancylotelson 368.6 375.2
Onychopterella_kokomoensis 385.3 389.1
Eurypterus_tetragonophthalmus 385.3 399.5
Dolichopterus_macrocheirus 385.3 389.1
Carcinosoma_newlini 385.3 389.1
Megalograptus_ohioensis 411.3 419.1
Mixopterus_kiaeri 389 393
Orcanopterus_manitoulinensis 411.7 415.1
Adelophthalmus_sievertsi 368.6 375.2
Hughmilleria_socialis 389.1 393.5
Slimonia_acuminata 385.3 409.5
Erettopterus_bilobus 393.5 409.5
Pterygotus_anglicus 373.7 385.3
Brachyopterus_stubblefieldi 419.1 424.5
Parastylonurus_ornatus 389.1 404.6
Laurieipterus_elegans 399.5 404.6
Kokomopterus_longicaudatus 385.3 389.1
Hardieopterus_macrophthalmus 399.5 404.6
Drepanopterus_pentlandicus 399.5 404.6
Hibbertopterus_scouleri 297 312.8
Megarachne_servinei 265 273.1
Chasmataspis_laurencii 424.5 434.1
Loganamaraspis_dunlopi 396.6 404.6
Achanarraspis_reedi 353.8 359.4
Heteroaspis_stoermeri 376.9 385.3
Diploaspis_casteri 368.6 375.2
Diploaspis_muelleri 373.7 376.9
Dvulikiaspis_menneri 376.9 385.3
Octoberaspis_ushakovi 376.9 385.3
Proscorpius_osborni 385.3 389.1
Palaeophonus_nuncius 396.6 399.5
Poliochera_punctulata 273.6 275.9
Anthracomartus_hindi 280.7 284.8
Eophrynus_prestvicii 275.9 283
Gilboarachne_griersoni 349.8 353.8
Palaeocharinus_sp. 373.7 376.9
Mesotarbus_peteri 283 284.8
Plesiosiro_madeleyi 280.7 283
Permarachne_novokshonovi 238.4 245.4
Attercopus_filmbriunguis 349.8 353.8
