Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	t[105]	t[106]	t[107]	t[108]	t[109]	turnover
0	-10741.71	-9265.457	-1476.253	0.002698939	-0.2426086	0.2868897	0.03217345	0	570.8845	0.04428108	463.1	411.3	411.3	411.7	385.3	399.5	393.5	393.5	393.5	385.3	392.8	393.5	396.6	389.1	389.1	389	389	385.3	385.3	385.3	385.3	385.3	373.7	359.4	373.7	368.6	368.6	368.6	368.6	353.8	349.8	297	289.8	280.7	283	280.7	283	273.6	280.7	275.9	280.7	283	283	280.7	280.7	275.9	273.6	273.6	265	245.4	267.1	266.5	245.4	245.4	245.4	213.3	208.1	208.1	201.1	201.1	201.1	174.6	171.7	111.1	111.1	79.1	75.1	36.7	32.1	60	208.1	208.1	208.1	238.4	238.4	280.7	269.8	293.1	285.1	312.8	330.8	330.8	330.8	349.8	368.6	368.6	373.7	376.9	376.9	376.9	376.9	385.3	399.5	399.5	389.1	396.6	399.1	399.5	399.5	393.5	419.1	424.5	424.5	472.6	463.1	472.6	472.6	479.1	475.2	6.478832
100	-6640.408	-5386.862	-1253.546	0.002171245	-0.004248617	0.254246	0.005924789	15	569.1481	0.2499974	463.36	411.316	412.015	412.139	385.393	399.647	393.982	393.679	393.962	385.771	393.374	393.757	396.979	390.006	389.847	389.268	389.208	385.523	385.459	386.358	385.841	386.139	374.511	360.269	374.53	369.129	368.6	370.079	368.831	354.71	350.146	297.139	290.927	281.061	283.141	280.93	283.063	274.544	280.723	276.031	280.744	283	284.204	281.45	281.261	276.007	273.941	274.284	265.236	246.109	267.313	267.058	245.407	245.793	245.886	213.3	208.515	208.198	201.1	201.589	202.278	174.835	171.965	111.698	111.353	79.623	75.4794	36.785	32.8088	60.0026	208.18	208.71	208.557	238.4	239.776	281.376	270.251	294.224	285.395	312.996	330.972	330.8	331.161	351.001	368.862	368.753	373.774	376.9	377.614	377.253	378.033	385.667	399.68	400.202	389.283	397.205	399.484	400.132	399.585	393.511	419.753	425.191	424.927	472.6	463.258	473.724	473.485	479.396	475.264	1.016995
200	-6180.525	-4853.356	-1327.169	0.001341475	-0.003919707	0.187008	0.004658192	13	570.6025	0.1830883	463.763	411.581	412.721	411.99	385.897	399.803	393.637	394.116	393.841	386.822	392.8	393.554	396.672	389.904	392.074	389.003	389.321	386.407	385.626	387.157	386.094	386.748	374.473	360.106	374.32	369.581	369.395	370.683	368.764	354.631	350.11	297.816	291.303	281.239	283.141	281.328	283.028	275.288	280.733	276.206	281.041	283.417	283.706	280.788	281.237	276.49	274.254	274.826	265.67	247.359	267.213	266.647	245.664	245.675	245.73	213.3	208.323	208.504	201.955	201.258	202.385	174.755	172.033	111.111	111.952	79.8158	75.2674	36.9954	32.6748	60.1882	208.16	209.028	209.199	238.4	239.436	281.311	269.951	293.925	285.755	312.943	331.559	330.8	332.118	350.773	369.601	369.841	374.226	376.9	378.009	377.212	378.468	386.849	400.106	401.561	390.238	397.257	399.244	399.997	399.528	393.5	419.535	424.773	424.758	472.941	463.422	473.719	473.452	480.94	475.521	1.021409
300	-6115.769	-4742.291	-1373.479	0.001002214	-0.00512255	0.1773494	0.003141534	12	568.2001	0.1722269	464.159	411.324	414.014	413.304	386.658	400.055	394.073	395.182	393.856	387.137	392.809	393.565	397.678	390.311	392.382	389.547	389.588	385.666	386.687	387.612	386.324	385.804	374.413	359.987	373.747	369.622	369.395	371.276	369.076	354.85	350.064	298.402	291.22	280.807	283	281.18	283.604	275.208	281.251	276.508	281.059	283.019	283.676	280.756	280.957	276.756	275.27	275.496	266.404	247.152	267.122	266.708	245.569	245.603	246.009	213.3	208.521	209.56	201.29	201.233	202.085	174.761	172.754	111.399	112.128	79.2059	75.1296	37.0814	33.0896	60.5381	208.522	208.722	209.068	238.481	238.773	280.716	270.517	293.362	285.878	312.988	332.462	331.043	333.05	350.962	369.821	369.8	374.085	377.637	378.612	377.378	378.038	386.769	399.556	402.035	389.548	397.592	399.101	401.057	399.535	393.5	419.338	425.085	424.838	472.978	463.14	473.652	473.008	481.1	475.836	1.029743
400	-6102.662	-4706.709	-1395.953	0.000939236	-0.004760315	0.167082	0.002702526	11	573.0349	0.1623217	464.176	412.075	415.025	413.849	386.624	399.661	394.455	395.331	393.61	387.624	393.379	393.805	397.735	390.398	393.131	389.91	389.437	386.168	387.892	388.368	385.863	385.867	374.192	360.508	374.172	369.477	368.738	371.538	369.958	354.738	350.095	298.079	290.544	280.759	283	281.074	283.596	276.731	281.449	276.1	281.167	283.75	283.165	280.725	281.015	277.603	275.592	274.605	266.742	245.881	267.496	266.753	246.179	245.866	245.844	213.357	208.807	210.002	201.264	201.33	201.339	174.644	173.294	111.174	112.302	79.4612	75.8106	36.8218	33.079	60.6583	208.414	209.324	208.671	238.417	238.616	280.754	269.909	293.481	285.741	312.905	331.068	330.806	333.255	350.867	370.318	368.646	373.848	377.452	378.587	377.661	377.495	387.457	399.622	401.81	389.966	398.502	399.1	401.198	400.387	393.5	419.315	424.793	424.656	472.73	463.143	473.583	472.776	480.585	475.556	1.029326
500	-6074.749	-4670.546	-1404.203	0.0008894186	-0.001701912	0.1894937	0.002075803	8	575.5766	0.1877918	463.974	413.029	414.581	414.488	387.944	399.82	394.362	395.575	393.549	388.794	394.391	393.513	398.611	390.409	392.563	390.08	389.207	386.563	388.219	388.221	385.987	386.867	374.682	359.834	374.256	369.346	370.487	370.713	370.407	353.869	350.057	298.461	290.926	280.903	283.401	281.235	284.338	276.1	281.694	276.102	281.112	283.099	283.283	280.844	280.897	277.845	275.568	274.013	266.151	245.784	267.575	266.83	245.735	246.479	246.179	213.3	209.052	209.045	201.429	201.737	201.792	175.135	172.363	111.1	111.245	79.4957	75.9559	36.7124	33.4415	61.3542	208.143	209.324	208.375	239.345	238.83	281.121	269.941	293.127	285.569	313.097	331.477	331.127	333.125	351.642	370.719	368.864	373.946	376.902	378.865	377.306	377.215	387.269	399.596	402.401	391.102	398.49	399.1	400.937	400.553	393.5	419.621	424.842	424.752	474.186	463.782	473.45	473.357	480.274	475.622	1.009063
600	-6058.311	-4650.197	-1408.114	0.0008363153	-0.0005359502	0.1718942	0.002784985	8	573.8681	0.1713582	464.102	412.789	413.957	414.708	387.813	399.565	394.432	395.441	394.073	389.252	395.461	393.666	397.979	390.057	392.266	389.509	389.903	386.903	389.068	388.669	385.562	387.474	374.542	360.006	373.882	369.589	369.971	371.167	371.417	354.935	350.061	298.287	290.89	281.062	283.015	281.453	283.624	276.882	281.896	275.95	280.911	283.001	283.932	281.218	280.98	277.861	275.197	274.228	266.006	245.484	267.427	266.859	245.443	246.38	246.489	213.3	208.665	209.327	201.627	202.593	201.564	174.705	172.196	111.615	111.642	79.7161	75.8746	37.005	32.2868	60.6382	208.398	210.244	208.602	239.897	238.414	281.724	269.815	293.205	286.357	313.179	331.92	330.82	333.7	352.618	370.306	369.708	374.311	376.96	378.894	377.568	377.481	386.181	399.663	402.478	390.487	398.417	399.178	400.937	399.594	393.5	420.071	424.741	425.405	473.579	463.174	473.081	473.889	481.007	475.821	1.003128
700	-6050.094	-4637.39	-1412.704	0.000802644	0.002460113	0.171084	0.001911698	11	573.0545	0.1735441	464.102	413.269	412.363	414.381	387.669	399.564	394.593	395.662	394.405	388.816	394.233	394.001	397.582	389.943	391.717	389.851	390.407	386.898	388.926	388.768	385.945	388.033	374.244	359.526	373.806	369.132	368.988	370.941	371.737	355.331	351.25	298.678	291.899	280.927	283.024	280.884	284.188	275.645	282.185	275.998	281.316	283.002	283.798	281.79	280.933	278.411	275.578	274.121	265.498	245.811	267.334	266.703	245.519	246.667	246.595	213.33	208.371	209.33	201.609	202.483	202.272	175.673	171.987	111.387	111.155	79.4611	75.3714	37.5311	33.4492	60.4326	209.098	211.624	208.463	240.119	238.9	281.153	270.244	293.211	286.759	312.834	332.394	330.938	333.958	351.771	370.881	370.123	374.062	376.91	378.705	377.577	378.982	386.042	400.389	402.853	390.502	397.916	399.1	399.709	400.117	393.5	420.256	425.668	425.866	473.584	463.798	473.389	475.544	481.43	477.233	0.9858243
800	-6066.886	-4657.323	-1409.563	0.0008699049	0.003086772	0.1408362	0.002830893	10	571.2898	0.143923	463.606	412.241	411.42	414.614	387.659	399.619	393.92	395.417	394.552	388.819	393.653	393.513	398.207	389.754	391.274	390.727	390.627	386.347	388.535	388.369	385.71	387.278	374.041	360.115	374.796	369.093	369.037	370.581	371.928	354.991	350.879	298.606	290.432	281.346	283.11	280.719	284.608	275.811	281.67	276.011	280.713	283	283.182	282.038	280.783	277.19	275.479	273.808	265.689	245.534	267.47	266.837	245.491	245.816	246.451	213.3	208.418	208.823	201.665	202.239	201.408	176.122	171.81	111.178	111.144	79.1837	75.1767	37.1871	33.8257	60.3448	208.952	211.617	208.891	239.141	238.42	281.266	270.492	293.176	285.828	313.025	333.086	331.026	333.403	352.971	370.341	370.847	374.664	377.202	379.111	376.944	379.467	386.346	400.613	402.771	389.975	397.765	399.1	399.565	400.947	393.5	421.287	425.548	425.49	472.8	463.101	473.427	475.668	481.262	477.575	0.9785526
900	-6069.122	-4652.351	-1416.771	0.0007862703	0.001838092	0.1770074	0.001698707	10	574.6767	0.1788455	463.221	412.329	411.958	413.504	386.848	399.968	394.231	396.787	394.005	389.416	392.81	394.342	399.201	389.798	390.945	391.559	390.955	386.235	387.122	388.231	386.319	387.785	374.195	360.133	374.484	369.661	369.433	370.745	371.321	355.227	351.39	298.63	290.622	280.951	283.349	280.942	283.877	275.489	283.111	276.707	280.742	283.278	283.182	281.099	280.881	276.219	275.592	273.948	266.453	245.858	267.335	266.931	246.241	245.971	246.232	213.328	208.545	209.681	201.14	202.452	201.389	176.838	172.085	111.299	111.121	79.6214	75.4849	38.348	33.5108	60.9648	209.486	211.708	209.012	239.45	238.973	281.472	269.902	293.541	286.394	313.379	333.554	331.03	332.871	353.004	369.534	370.648	375.411	377.181	378.23	377.62	379.708	385.989	400.391	402.545	389.892	398.747	399.1	400.449	400.904	393.5	422.556	425.554	424.538	473.256	463.467	474.151	476.703	480.181	478.137	0.9897225
